Source,Target,Weight_x,Weight_y,Weight
e8342,r569,0.0268,0.0301,0.0331
e8342,e874,0.0214,0.0207,0.0218
e8342,c787,0.0197,0.0166,0.0181
e8342,r6521,0.0626,0.0652,0.0561
e8342,e1110,0.0185,0.0252,0.0273
e8342,t380x5a,0.0185,0.024,0.0271
e8342,d689,0.0254,0.0238,0.0256
e8342,d61810,0.0336,0.0261,0.0268
e8342,t451x5a,0.0539,0.0415,0.0477
e8342,n136,0.025,0.0249,0.0216
e8342,e222,0.0215,0.021,0.0242
e8342,r188,0.0295,0.0307,0.0299
e8342,d684,0.0201,0.0214,0.0218
e8342,k7010,0.0307,0.027999999999999997,0.039
e8342,r7881,0.0201,0.0177,0.0183
e8342,k7290,0.0208,0.0203,0.0236
e8342,f10229,0.0269,0.0273,0.0254
e8342,z781,0.0184,0.024,0.0263
e860,f329,0.1104,0.1042,0.1026
e860,i110,0.0574,0.0574,0.0548
e860,i2510,0.1034,0.1021,0.0967
e860,i4891,0.0676,0.0688,0.0674
e860,i5032,0.0287,0.03,0.0277
e860,k219,0.1221,0.1201,0.1086
e860,z7902,0.047,0.0513,0.0559
e860,z794,0.1245,0.1238,0.1207
e860,z7982,0.1098,0.11,0.1076
e860,z79890,0.0378,0.0573,0.066
e860,z87891,0.1187,0.1159,0.1095
e860,z951,0.0411,0.0451,0.0383
e860,z955,0.0516,0.0507,0.0467
